brand_name,generic_name,drug_class,Company_Name,Study_Name,Journal,Publication_Year,Level_of_Evidence
Lashisma,Bimatoprost,Prostaglandinanalog,Intas Pharmaceuticals,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Lashisma,Bimatoprost,Prostaglandinanalog,Intas Pharmaceuticals,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Dortas-T,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,IntasPharmaceuticle,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dortas-T,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,IntasPharmaceuticle,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dortas-T,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,IntasPharmaceuticle,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Intraprost (Eye),Bimatoprost,Prostaglandinanalog,IntasPharmaceuticle,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Intraprost (Eye),Bimatoprost,Prostaglandinanalog,IntasPharmaceuticle,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Intraprost (Eye),Bimatoprost,Prostaglandinanalog,IntasPharmaceuticle,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Timolong,Timolol,Betablocker,IntasPharmaceuticle,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timolong,Timolol,Betablocker,IntasPharmaceuticle,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timolong,Timolol,Betablocker,IntasPharmaceuticle,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Azarga,Brinzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ipca Pharma,Brinzolamide/Timolol Fixed Combination Phase III Trial,Journal of Glaucoma,2013,Level I
Azarga,Brinzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ipca Pharma,Brinzolamide 1%/Timolol 0.5% Fixed Combination versus Timolol Monotherapy in Patients with Open-Angle Glaucoma or Ocular Hypertension,Clinical Ophthalmology,2014,Level I
Azarga,Brinzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ipca Pharma,Efficacy and Safety of Brinzolamide 1%/Timolol 0.5% versus Dorzolamide 2%/Timolol 0.5% in Patients with Primary Open-Angle Glaucoma or Ocular Hypertension,Cureus,2024,Level I
Azopt,Brinzolamide,carbonic Anhydrase Inhibitor,Ipca Pharma,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Azopt,Brinzolamide,carbonic Anhydrase Inhibitor,Ipca Pharma,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Azopt,Brinzolamide,carbonic Anhydrase Inhibitor,Ipca Pharma,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Netasudil,Netarsudil,Rho Kinase Inhibitor,Ipca Pharma,ROCKET-1 Trial,American Journal of Ophthalmology,2019,Level I
Netasudil,Netarsudil,Rho Kinase Inhibitor,Ipca Pharma,ROCKET-4: Once-Daily Netarsudil versus Twice-Daily Timolol in Patients with Elevated Intraocular Pressure,American Journal of Ophthalmology,2019,Level I
Netasudil,Netarsudil,Rho Kinase Inhibitor,Ipca Pharma,MERCURY-2: Once-Daily Netarsudil/Latanoprost Fixed-Dose Combination versus Netarsudil or Latanoprost Monotherapy,Ophthalmology Glaucoma,2019,Level I
Brimorx,Brimonidine,Alpha Agonist,Irx Pharmaceuticals,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimorx,Brimonidine,Alpha Agonist,Irx Pharmaceuticals,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimorx,Brimonidine,Alpha Agonist,Irx Pharmaceuticals,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Dorzorx-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Irx Pharmaceuticals,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorzorx-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Irx Pharmaceuticals,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorzorx-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Irx Pharmaceuticals,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Timotic,Timolol,Betablocker,Jaqson Helathcare,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timotic,Timolol,Betablocker,Jaqson Helathcare,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timotic,Timolol,Betablocker,Jaqson Helathcare,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Bexol Eye,Betaxolol,Betablocker,Jawa Pharmac,Betaxolol vs Timolol in Primary Open-Angle Glaucoma,Archives of Ophthalmology,1988,Level I
Bexol Eye,Betaxolol,Betablocker,Jawa Pharmac,Betaxolol versus Timolol in Patients with Primary Open-Angle Glaucoma: A One-Year Multicenter Trial,American Journal of Ophthalmology,1990,Level I
Bexol Eye,Betaxolol,Betablocker,Jawa Pharmac,Long-Term Comparison of Betaxolol and Timolol in Chronic Open-Angle Glaucoma,Ophthalmology,1992,Level I
Dortim,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Jawa Pharmac,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dortim,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Jawa Pharmac,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dortim,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Jawa Pharmac,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Lupitros Z,Travoprost,Prostaglandinanalog,Lupin,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Lupitros Z,Travoprost,Prostaglandinanalog,Lupin,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Lupitros Z,Travoprost,Prostaglandinanalog,Lupin,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Timoblu,Timolol,Betablocker,Lupin,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timoblu,Timolol,Betablocker,Lupin,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timoblu,Timolol,Betablocker,Lupin,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Acetamide,Acetazolamide,carbonic Anhydrase Inhibitor,Microlabs Ltd.,Equivalence of Conventional and Sustained-Release Oral Acetazolamide in Primary Open-Angle Glaucoma,British Journal of Clinical Pharmacology,1989,Level I
Acetamide,Acetazolamide,carbonic Anhydrase Inhibitor,Microlabs Ltd.,Intraocular Pressure Effects of Carbonic Anhydrase Inhibitors in Primary Open-Angle Glaucoma,American Journal of Ophthalmology,1989,Level I
Betafree,Brimonidine+ Brinzolamide,carbonic Anhydrase Inhibitor+ Alpha Agonist,Microlabs Ltd.,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Betafree,Brimonidine+ Brinzolamide,carbonic Anhydrase Inhibitor+ Alpha Agonist,Microlabs Ltd.,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Betafree LS,Brimonidine+ Brinzolamide,carbonic Anhydrase Inhibitor+ Alpha Agonist,Microlabs Ltd.,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Betafree LS,Brimonidine+ Brinzolamide,carbonic Anhydrase Inhibitor+ Alpha Agonist,Microlabs Ltd.,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Bimaday LS,Bimatoprost,Prostaglandinanalog,Microlabs Ltd.,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Bimaday LS,Bimatoprost,Prostaglandinanalog,Microlabs Ltd.,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Bimaday LS,Bimatoprost,Prostaglandinanalog,Microlabs Ltd.,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Laprost,Latanoprst,Prostaglandinanalog,Microlabs Ltd.,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
Laprost,Latanoprst,Prostaglandinanalog,Microlabs Ltd.,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
Laprost,Latanoprst,Prostaglandinanalog,Microlabs Ltd.,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
Lopres,Timolol,Betablocker,Microlabs Ltd.,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Lopres,Timolol,Betablocker,Microlabs Ltd.,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Lopres,Timolol,Betablocker,Microlabs Ltd.,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Misopt,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Microlabs Ltd.,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Misopt,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Microlabs Ltd.,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Misopt,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Microlabs Ltd.,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Monosopt,Dorzolamide,carbonic Anhydrase Inhibitor,Microlabs Ltd.,Dorzolamide vs Betaxolol in Primary Open-Angle Glaucoma,Ophthalmology,1997,Level I
Monosopt,Dorzolamide,carbonic Anhydrase Inhibitor,Microlabs Ltd.,Dorzolamide Hydrochloride: A Two-Year Controlled Study of Safety and Efficacy in Patients with Glaucoma or Ocular Hypertension,Ophthalmology,1998,Level I
Monosopt,Dorzolamide,carbonic Anhydrase Inhibitor,Microlabs Ltd.,Comparison of Dorzolamide and Brinzolamide as Adjunctive Therapy to Timolol in Patients with Primary Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2000,Level I
Rimonid,Brimonidine,Alpha Agonist,Microlabs Ltd.,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Rimonid,Brimonidine,Alpha Agonist,Microlabs Ltd.,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Rimonid,Brimonidine,Alpha Agonist,Microlabs Ltd.,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Travo Z,Travoprost,Prostaglandinanalog,Microlabs Ltd.,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travo Z,Travoprost,Prostaglandinanalog,Microlabs Ltd.,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travo Z,Travoprost,Prostaglandinanalog,Microlabs Ltd.,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Trisopt,Brinzolamide+ Brimonidine+ Timolol,carbonic Anhydrase Inhibitor+ Alpha Agonist+ Betablocker,Microlabs Ltd.,Triple Fixed-Combination Bimatoprost/Brimonidine/Timolol versus Dual Fixed-Combination Brimonidine/Timolol for Lowering Intraocular Pressure,Journal of Ophthalmology,2017,Level I
Brimonist,Brimonidine,Alpha Agonist,Neiss Laboratories,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimonist,Brimonidine,Alpha Agonist,Neiss Laboratories,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimonist,Brimonidine,Alpha Agonist,Neiss Laboratories,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Brinmide-B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Neomedix healthcare,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Brinmide-B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Neomedix healthcare,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Dorfort-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Neomedix healthcare,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorfort-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Neomedix healthcare,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorfort-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Neomedix healthcare,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Travstar PF,Travoprost,Prostaglandinanalog,Neomedix healthcare,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travstar PF,Travoprost,Prostaglandinanalog,Neomedix healthcare,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travstar PF,Travoprost,Prostaglandinanalog,Neomedix healthcare,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Xalacom,Latanoprost + Timolol,Prostaglandinanalog+ Betablocker,Pfizer,A Comparison of the Fixed Combination of Latanoprost and Timolol with Its Individual Components,Graefe's Archive for Clinical and Experimental Ophthalmology,2002,Level I
Xalacom,Latanoprost + Timolol,Prostaglandinanalog+ Betablocker,Pfizer,American Journal of Ophthalmology,American Journal of Ophthalmology,2004,Level I
Xalacom,Latanoprost + Timolol,Prostaglandinanalog+ Betablocker,Pfizer,A 12-Week Study Comparing the Fixed Combination of Latanoprost and Timolol with the Concomitant Use of the Individual Components in Patients with Open-Angle Glaucoma and Ocular Hypertension,British Journal of Ophthalmology,2004,Level I
Travipress PF,Travoprost,Prostaglandinanalog,Protech remedies,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travipress PF,Travoprost,Prostaglandinanalog,Protech remedies,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travipress PF,Travoprost,Prostaglandinanalog,Protech remedies,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Cosopt,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Cosopt,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Cosopt,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Cosopt PF,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Cosopt PF,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Cosopt PF,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Santeen Pharmaceuticles,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Saflutan,Tafluprost,Prostaglandinanalog,Santeen Pharmaceuticles,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
Saflutan,Tafluprost,Prostaglandinanalog,Santeen Pharmaceuticles,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
Saflutan,Tafluprost,Prostaglandinanalog,Santeen Pharmaceuticles,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
Trusopt,Dorzolamide,carbonic Anhydrase Inhibitor,Santeen Pharmaceuticles,Dorzolamide vs Betaxolol in Primary Open-Angle Glaucoma,Ophthalmology,1997,Level I
Trusopt,Dorzolamide,carbonic Anhydrase Inhibitor,Santeen Pharmaceuticles,Dorzolamide Hydrochloride: A Two-Year Controlled Study of Safety and Efficacy in Patients with Glaucoma or Ocular Hypertension,Ophthalmology,1998,Level I
Trusopt,Dorzolamide,carbonic Anhydrase Inhibitor,Santeen Pharmaceuticles,Comparison of Dorzolamide and Brinzolamide as Adjunctive Therapy to Timolol in Patients with Primary Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2000,Level I
Glustop,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sapient Pharmaceuticles,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Glustop,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sapient Pharmaceuticles,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Glustop,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sapient Pharmaceuticles,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Brimosun LS,Brimonidine,Alpha Agonist,Sun Pharmaceutical,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimosun LS,Brimonidine,Alpha Agonist,Sun Pharmaceutical,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimosun LS,Brimonidine,Alpha Agonist,Sun Pharmaceutical,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Brinolar BKC Free,Brinzolamide,carbonic Anhydrase Inhibitor,Sun Pharmaceutical,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brinolar BKC Free,Brinzolamide,carbonic Anhydrase Inhibitor,Sun Pharmaceutical,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brinolar BKC Free,Brinzolamide,carbonic Anhydrase Inhibitor,Sun Pharmaceutical,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Careprost (Eye),Bimatoprost,Prostaglandinanalog,Sun Pharmaceutical,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Careprost (Eye),Bimatoprost,Prostaglandinanalog,Sun Pharmaceutical,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Careprost (Eye),Bimatoprost,Prostaglandinanalog,Sun Pharmaceutical,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Diamox Tablet,Acetazolamide,carbonic Anhydrase Inhibitor,Sun Pharmaceutical,Equivalence of Conventional and Sustained-Release Oral Acetazolamide in Primary Open-Angle Glaucoma,British Journal of Clinical Pharmacology,1989,Level I
Diamox Tablet,Acetazolamide,carbonic Anhydrase Inhibitor,Sun Pharmaceutical,Intraocular Pressure Effects of Carbonic Anhydrase Inhibitors in Primary Open-Angle Glaucoma,American Journal of Ophthalmology,1989,Level I
Latoprost RT,Latanoprost,Prostaglandinanalog,Sun Pharmaceutical,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
Latoprost RT,Latanoprost,Prostaglandinanalog,Sun Pharmaceutical,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
Latoprost RT,Latanoprost,Prostaglandinanalog,Sun Pharmaceutical,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
Raiki,Netarsudil,Rho Kinase Inhibitor,Sun Pharmaceutical,ROCKET-1 Trial,American Journal of Ophthalmology,2019,Level I
Raiki,Netarsudil,Rho Kinase Inhibitor,Sun Pharmaceutical,ROCKET-4: Once-Daily Netarsudil versus Twice-Daily Timolol in Patients with Elevated Intraocular Pressure,American Journal of Ophthalmology,2019,Level I
Raiki,Netarsudil,Rho Kinase Inhibitor,Sun Pharmaceutical,MERCURY-2: Once-Daily Netarsudil/Latanoprost Fixed-Dose Combination versus Netarsudil or Latanoprost Monotherapy,Ophthalmology Glaucoma,2019,Level I
Synca,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Sun Pharmaceutical,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Synca,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Sun Pharmaceutical,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Synca LS,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Sun Pharmaceutical,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Synca LS,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Sun Pharmaceutical,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Timolet,Timolol,Betablocker,Sun Pharmaceutical,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timolet,Timolol,Betablocker,Sun Pharmaceutical,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timolet,Timolol,Betablocker,Sun Pharmaceutical,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Carpinol,Pilocarpine,Cholinergic Agonist,Sun ways India,Pilocarpine Therapy in Chronic Open-Angle Glaucoma,American Journal of Ophthalmology,1985,Level I
Carpinol,Pilocarpine,Cholinergic Agonist,Sun ways India,Pilocarpine Therapy in Chronic Open-Angle Glaucoma: A Multicenter Randomized Clinical Trial,American Journal of Ophthalmology,1985,Level I
